median_income,percent_college,percent_lunch,percent_married,rate_unemployment,state,average_act
103469.0,0.792263610315186,0.192202462380301,0.978978978978979,0.107201759208356,TN,20.8
45455.0,0.656210258584146,0.647465437788018,0.385777777777778,0.124410933081998,MI,16.0
90372.0,0.781050955414013,0.207287449392713,0.76510067114094,0.0816993464052288,NJ,22.2283272283272
26327.0,0.829501915708812,0.223744292237443,0.746987951807229,0.0920716112531969,MI,23.3
47830.0,0.650767987065481,0.404255319148936,0.730909090909091,0.0384951881014873,TX,20.3968253968254
56893.0,0.763805358119191,0.183050847457627,0.807854137447405,0.0884235020360675,MI,20.8
48583.0,0.66813880126183,0.500821018062397,0.663385826771654,0.0906474820143885,MI,18.4
66821.0,0.580459770114943,0.25886524822695,0.802728226652676,0.0881755383990248,NJ,19.5177045177045
46591.0,0.282673478075777,0.540772532188841,0.848982785602504,0.0512273212379936,TX,17.3687423687424
47195.0,0.528215411057004,0.41834451901566,0.465826144658261,0.103717472118959,MI,18.8
4833.0,0.905797101449275,0.146579804560261,0.0,0.277481323372465,IN,27.3687423687424
32884.0,0.43213897937025,0.454287067740407,0.511488511488511,0.0929971988795518,MO,21.7
50469.0,0.51934583167132,0.235836627140975,0.759731543624161,0.0505140813589629,PA,21.7399267399267
54613.0,0.417004913480026,0.420833333333333,0.776,0.150665399239544,MO,20.3
39937.0,0.566472002748197,0.291479820627803,0.581622678396872,0.0834697217675941,WI,23.4
42309.0,0.564304461942257,0.878636363636364,0.705803869246164,0.0816383393702981,TX,20.6898656898657
33904.0,0.528273359540369,0.463223787167449,0.607068607068607,0.147410358565737,TN,19.1
62279.0,0.602506714413608,0.280453257790368,0.556287425149701,0.0748974008207934,WI,22.0
39617.0,0.544403892944039,0.38125,0.758409785932722,0.0510046367851623,TX,20.5677655677656
30074.0,0.625146886016451,0.35968617984309,0.777777777777778,0.0889724310776942,FL,21.9352869352869
18194.0,0.355018587360595,0.656862745098039,0.362126245847176,0.163682864450128,TX,19.6642246642247
174676.0,0.906612821807168,0.0347082494969819,0.971233913701741,0.0400534045393858,TN,25.3
33631.0,0.378086956521739,0.647342995169082,0.497788697788698,0.137545126353791,WI,14.5
44154.0,0.545140089934279,0.373303167420814,0.53405017921147,0.094885100074129,NC,21.007326007326
50396.0,0.573514431239389,0.296551724137931,0.564897959183673,0.12326656394453,TX,20.1770451770452
101250.0,0.795615731785945,0.31524303916942,0.920428462127008,0.0440051020408163,NJ,20.5921855921856
50649.0,0.673491975650249,0.425117924528302,0.483333333333333,0.0801201802704056,DE,17.034188034188
53897.0,0.63434798947764,0.227272727272727,0.819089207735496,0.0419880034275921,WY,19.0
49280.0,0.667595818815331,0.204737732656514,0.75,0.077752117013087,PA,21.1294261294261
24255.0,0.33283626603042,0.825147347740668,0.231026252983294,0.0955538221528861,LA,15.5
29275.0,0.386624455876533,0.650909090909091,0.606466876971609,0.307893589184475,NC,18.6385836385836
79102.0,0.575370464997445,0.282021151586369,0.805687203791469,0.0656887755102041,TN,19.5
59551.0,0.664511315593136,0.222952477249747,0.819840898455779,0.050412987752777,WA,23.2783882783883
49625.0,0.463853871880628,0.288888888888889,0.568047337278107,0.0466128029832194,TX,20.8608058608059
